feature,importance
duration,37.04586026006802
checking_status,32.85942909959148
age,23.984428310017883
credit_amount,15.964958239161717
savings_status,13.201524133389624
personal_status,12.288808760524475
installment_commitment,10.143582341243649
purpose,4.8029779360774
property_magnitude,3.564856344974743
residence_since,2.7634420178535226
employment,2.680288810487395
housing,2.5917154642277254
credit_history,1.7033278605259636
job,1.630720246056411
existing_credits,1.113615969920402
other_payment_plans,1.0170773412247653
own_telephone,0.7571124993264676
num_dependents,0.37104740681516984
other_parties,0.2051129876389726
foreign_worker,0.0
